No.,Z1,Z2
81,-0.38934396353851186,-1.2449595069346038
179,1.372019710808257,0.7549006738673161
229,1.7110671566417766,-0.7149766766515635
62,0.3281833705711894,0.47547638274814247
70,-0.18017407992101991,0.14620772972492177
35,1.6969864177615146,-0.009057430367992142
203,1.4242798291073488,0.08981621369347448
69,0.21593105137274904,-0.13577317516081602
178,2.0025577097219323,-0.1460957795045075
65,-0.4252468423600843,1.7112571349212549
4,0.6481289127049301,1.0054191837051867
210,0.5897242755322235,-0.5920059946636984
3,1.3033993746492896,0.1410945763799325
219,1.1291392086367913,0.34900174300182124
162,-0.2046992531249467,-1.482543638104608
226,1.021891163730417,-0.6046088971601669
27,1.8606753433670082,0.32186548258963915
189,-0.6263585087196568,-1.112916565574541
133,-1.5720663613773678,2.386522362714027
116,-0.3449788228229004,-0.33500630567211587
126,-1.6289200229972738,-1.831008229239485
155,1.2593061322779306,-0.8505603896900504
182,1.7209235616714165,0.43608887311798133
24,0.9340782811979899,0.6395514308222814
227,0.12769262290841132,-1.1937572709427657
34,1.5074101698816327,0.40835872721831756
103,-1.4988682693012332,0.3622611929268385
53,-3.3001579504971597,1.1640671015263764
72,-4.076865181270393,-1.4031291118157547
187,0.6309077367695671,-0.3848542224941122
86,-2.0674465758803415,0.7493018998990101
104,-2.6956797635161633,-0.1185762003101769
105,-1.683691235677216,0.4958229810876694
131,-2.4327897591156225,0.22198006292701422
19,0.6342736048115754,1.0139906351818198
124,-1.7327815057495544,1.052559630722523
195,2.01961886748469,0.2582208563455336
120,-1.8759310249827532,-0.032973110065106725
7,1.0935668989057015,0.2153810353588485
164,0.8246033534822382,-2.277795719170648
21,2.925433036227822,2.118120200819412
113,-0.46799540818575325,1.425962249166144
168,1.982751802200874,-0.91952451324845
89,-4.220166419662253,2.076536324796041
114,-3.371579773819888,0.0274320373270856
12,1.4086917153303098,1.176012185279099
177,1.6673582794164314,-0.6649685875742526
217,2.1452357784978657,-0.26181540662553643
10,2.7134391927964856,1.9876267814249182
197,0.9943384607152619,-0.8601364149921612
209,1.3644028211619983,0.09737140404612771
57,-2.7382335296292415,0.5295545321751362
13,1.5420106304856231,0.710713219860952
93,-0.714865539948575,1.6521908030200931
125,-1.6337508982117157,1.2942583641322496
106,-2.189596607764531,0.2368838697397896
23,3.089176198466438,1.106651306604837
92,-0.7426142425329536,0.4295664213484318
32,1.6841054237437705,0.6236190504431208
181,1.3207585157974429,0.5618039735235115
30,2.812155826250761,0.8037880059585818
142,-0.7013078329682423,-0.6555704729682561
8,1.1298887198744778,1.784460465676725
100,-0.29396096584983095,1.0516025842925196
5,1.226986797576122,0.06974878417842995
135,-1.5427789164693178,-1.718217960357308
50,-0.7760241900362231,-0.6580822976800705
212,1.0350675408268208,-0.6309233478788192
79,-2.7381338753681455,0.5731684394195532
95,-1.7654099198172095,-1.351441974105251
84,-1.3626852713005506,-0.4494577849356609
169,1.1536703944404563,-0.41651671629830284
77,-0.5822279109208169,0.5869471677263736
112,-1.4079977033728859,-0.2791820261866899
184,1.8519285858291097,0.5241061388543287
28,2.2278220936997095,1.1684686890425922
6,2.142383640408993,0.04450016895468045
199,1.0049451221400092,-0.9875170620117201
117,-2.0764474625400626,0.9530556498414425
220,1.58310308738866,-0.4989425844815064
192,1.7630572011203238,-0.2513811090330885
107,-2.1908849632162255,0.0040208041245004544
97,-1.2068547142866066,1.0749020167532226
67,0.08009630123261932,-0.15639841772380106
59,-5.320010875646792,2.171490730720416
230,2.3567837279486112,-1.7450848687170255
85,-3.241415048194261,1.3980954988755103
33,1.2348240923784228,0.0851279627338094
60,-4.503892242805407,0.5407274143593188
149,-4.073152572013426,-1.3056215394019537
46,1.3260662339557823,0.17990629478304893
14,1.4598785050953123,0.09991281760286946
152,1.7676486385531256,-0.8233360907870239
206,0.9965821362675847,-1.7572508492520533
