,Corelatii
Rad1,0.8610569685465205
Rad2,0.8953000973486711
Rad3,0.8488258518980965
Rad4,0.7618272259211887
Rad5,0.6225654063323082
Rad6,0.49649465691203787
Rad7,0.338453231779827
Rad8,0.3022353244865359
Rad9,0.12171478846214864
