County,U1,U2,U3,U4,U5,U6,U7,U8,U9
sb,-0.033247779317983,0.2422833090789364,0.2032685416009286,-0.0980996353674791,0.0695493422535511,0.07766421676411282,-0.12580095347140396,-0.05038809196998219,0.20108115477816432
sj,-0.14053084965856244,0.0923037043019117,-0.05892247484514916,-0.19527005604548106,-0.3284229895993063,0.05736976056036552,-0.04697970640492977,-0.033911252601592376,0.0035356188513551825
sm,-0.13538239991055792,0.0016426861431886619,-0.05729648122974056,-0.06557276961604247,-0.20139058975079163,-0.14790173101605525,-0.051721435529815916,0.27549629856451907,0.07358548761773073
sv,-0.0416170843437884,-0.18748431423059114,0.03399107108585163,-0.31238032775255675,0.2541686654052371,-0.16842989558569949,-0.4093380611779793,-0.0464182225849675,-0.6244250574942121
tl,0.1716750579782129,-0.27403641507345244,0.13302573068339918,0.02267738319309453,-0.008815571990416098,-0.02337496480393159,-0.11632019992584947,0.07711779354591922,0.33649140463371424
tm,-0.08161981965677513,0.15271689181245157,0.3154136193354172,-0.07232072436877196,-0.1841448279369038,-0.0412054746717803,0.10679401447827976,-0.02190631774082459,-0.12281430541127235
tr,0.11278086506079842,0.24548896626780747,-0.25222288392802555,0.09611024226316664,-0.035373139378095775,0.12801885085835962,-0.2320390407537413,-0.07569762337767656,-0.02025074430894084
vl,0.07026374734364485,-0.1333914127528837,-0.017294835204185927,0.08715146678011151,0.05240226995072924,0.20180638717156651,-0.0633151390142649,-0.08393159273455485,0.07634287870389514
vn,0.027418188994016723,0.0424180546901315,-0.12262400818600476,-0.1690891745401196,0.1259592031054984,-0.04993982037509462,-0.09432747398098378,-0.21491200291861198,0.019405630418177753
vs,0.12391323906055361,-0.1139687766614167,-0.0009060807175470658,0.02369018787916053,-0.04739693562901078,-0.18404866359122407,0.014137788942234771,0.0012461009445878875,0.016043382318083166
