County,U1,U2,U3,U4,U5,U6,U7,U8,U9
ab,-0.011742890001000773,0.12913439189316986,0.024073140540532216,-0.09615779995209524,0.2644343769177149,-0.07807311594200748,0.001759121013304319,-0.09566894546283768,0.207635551343605
ag,0.06065796142732608,-0.014464942858583033,0.031010140991717092,0.3018361797999802,0.06854417717424746,-0.025795509068234794,0.12669169585540027,-0.06886753626809365,-0.03746852740140978
ar,-0.03395401510030545,0.005502522538202048,0.0524747685109339,-0.17322871796402842,0.09988180349723548,-0.1606586975334747,0.013424176534778063,-0.09061673667426041,0.04943814201142336
b,-0.09636647007500568,0.19096275079218153,0.3248936240885716,0.08221989883593256,-0.24720492903479632,0.1114615184613815,0.20817583190549374,-0.06266532427661636,-0.21289733580300743
bc,0.019687824744724806,-0.22979360133457763,0.09438495225742458,0.03938902210587565,0.08441317712590149,0.06752125892650669,0.011835429807264269,-0.15537824894696337,0.03252327126047755
bh,-0.05475589268434907,0.15088574239931404,-0.1553279538883038,-0.1157132255242692,0.0335482972886799,-0.09949049459316336,-0.12697821304589396,0.04646512118508014,0.19453259568414077
bn,-0.04913054914408291,-0.04140870103340978,-0.09387953644863288,-0.41320971230014486,0.07877326197509821,0.26411210330106155,0.264059397688891,0.08905699291393875,-0.07624474059019387
br,0.04625683665561651,-0.15899394508846013,-0.040621567229210814,0.06294182748193967,0.014360116795697712,-0.026803241876190785,0.09458310501043443,-0.17368106892528706,-0.09336623687660145
bt,0.11166369014565093,-0.14653018259928824,-0.08827432022272591,0.009183968107210144,-0.056003267552510026,-0.17848079334694192,0.08202100011578581,-0.16758827426836956,0.05111533982119506
bv,-0.06260720756311211,0.13482611439812822,0.2938780679092543,0.14302871726817853,-0.04069936499657407,-0.02227036180952748,-0.06723535453082215,-0.07963204892312836,0.02296181631020213
bz,0.08188381138038602,-0.01230802851910523,-0.12137192611874596,0.03871165215154898,0.15244363100144925,-0.07708442006282124,0.46965671205124426,0.2593124756085218,-0.2159939823831812
cj,-0.11399469086171952,0.27052216480405156,0.17865234384352566,0.006142667327894952,0.030499623702175075,-0.02064926046842139,-0.08837802258505348,0.0508960786382636,-0.005059668281852627
cl,0.03502981319646503,0.062128562083717934,-0.19257904236185294,0.041184756447438596,0.017083102056702517,0.04861922870174193,-0.05739210354687052,-0.309184877924788,-0.054070638302339435
cs,0.12659365805679468,-0.2642959132431128,0.05828958058411841,0.021252331255979393,0.155525539382775,0.35258414670429805,-0.17294034068959538,0.19117797611714668,0.2052616679625976
ct,0.002104104778096636,-0.15618628396728057,0.1997058803358212,-0.18627915201310324,-0.09693807108224983,0.04888601889396711,0.05053298489576468,-0.1649235592265778,0.17615547226371647
cv,-0.4668155816240765,-0.125503563439662,-0.14248340144537908,0.20608307590977776,0.06007274036181631,-0.12175812520638013,-0.08685514193500796,0.1369939377787342,-0.0029132270669703676
db,0.11786114812393125,0.0015367796235884756,-0.08498110003983064,0.25570444903845796,0.07463492726110889,-0.007692366924291187,0.050795968143324426,-0.01298427133840559,0.03406628601349409
dj,0.0341865740389472,0.07940406829420912,-0.09396693921364152,0.27644183055938437,0.12715613578320745,0.14205452697196977,0.09079347061234463,-0.11053344507526389,-0.07187320816696935
