,Varianta,Varianta cumulata,Varianta procentuala,Varianta procentuala cumulata
0,10.437485521866723,10.437485521866723,33.669308135053946,33.669308135053946
1,2.8240225464229103,13.261508068289633,9.109750149751324,42.77905828480527
2,2.618530799411578,15.880038867701211,8.44687354648896,51.225931831294226
3,2.2247071636831652,18.104746031384376,7.176474721558597,58.402406552852824
4,1.8196762358718406,19.92442226725622,5.869923341522067,64.27232989437489
5,1.5812830783620486,21.505705345618267,5.100913156006608,69.37324305038149
6,1.3436754705353402,22.84938081615361,4.334437001726904,73.70768005210839
7,1.0801619206416126,23.92954273679522,3.4843932923922987,77.19207334450068
8,1.0103671304825326,24.939909867277752,3.259248808008169,80.45132215250885
9,0.8645652332747578,25.80447510055251,2.7889201073379284,83.24024225984678
10,0.8107867020467634,26.61526180259927,2.615440974344398,85.85568323419118
11,0.6262817885712109,27.241543591170483,2.02026383410068,87.87594706829186
12,0.5766543738414741,27.818197965011958,1.8601753994886263,89.73612246778049
13,0.4461797390376836,28.264377704049643,1.4392894807667211,91.17541194854721
14,0.35401244565816575,28.61839014970781,1.1419756311553735,92.3173875797026
15,0.31222175766495425,28.930611907372764,1.00716696020953,93.32455453991211
16,0.2908476297200562,29.22145953709282,0.938218160387278,94.26277270029941
17,0.2548636177545033,29.47632315484732,0.8221407024338816,95.08491340273328
18,0.19186405699703565,29.66818721184436,0.6189163128936634,95.70382971562694
19,0.15650196224808552,29.824689174092445,0.5048450395099533,96.2086747551369
20,0.12491605499540312,29.949605229087847,0.4029550161142036,96.61162977125109
21,0.09596731480596334,30.04557254389381,0.309571983245043,96.92120175449614
22,0.0838440891018015,30.129416632995614,0.2704648035541984,97.19166655805033
23,0.06499708956654751,30.19441372256216,0.20966803085983066,97.40133458891016
24,0.05792968009043602,30.252343402652595,0.18686993577560004,97.58820452468576
25,0.05420511736261343,30.30654852001521,0.174855217298753,97.76305974198452
26,0.03658082178229009,30.3431293417975,0.11800265091061321,97.88106239289512
27,0.019514202674223283,30.362643544471723,0.06294904088459123,97.94401143377972
28,0.01135342701793185,30.373996971489653,0.03662395812236081,97.98063539190208
29,0.003594468549482099,30.377591440039136,0.01159505983703903,97.99223045173913
30,0.0,30.377591440039136,0.0,97.99223045173913
