Indicativ,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31
ab,-0.06233532875374661,0.9934227966944339,-0.601019057730753,0.6687641005260293,0.8638419169829892,-0.20214212994284847,-0.8932241780615991,1.697387148339801,-1.189049477083522,-0.5059055267462021,0.03219635879029091,0.009233924910800918,1.5068048577476671,-0.032325020003939026,-0.5841189525388985,-1.0970265485079778,0.32185058298528896,1.0198542794644307,0.8075421503038335,1.0609953467763504,1.6211413989011032,-1.629202944841914,-0.5634737025519803,0.6213990796378335,-1.2178998367353373,0.6455181313829724,-1.7911941250988441,-1.216805041495579,0.549377113176032,-0.05303243029709428,0.0
ar,0.03583075380426862,-0.5229946844297165,-0.9046474995457439,0.39955492145969485,1.027377323224952,0.08253842010259285,0.20311968380946244,1.2146741262210028,-1.5964913491843713,-0.5808303380745443,0.2639702392129969,-0.04192028888956152,1.5204683292987122,0.16512127534597845,0.20445436132921002,-0.5159234836478024,0.7457651824503301,-2.5739153406396285,0.2211248643592979,1.0894612902741987,0.06314024554855052,-0.047478457038525955,1.3333643871188814,-0.010145496855677357,0.2536272280006976,0.471810044826059,1.8558109284987165,0.26907861044363796,-0.4233983913055378,-0.6907673213463131,0.0
ag,0.4422902485946107,-0.6895084698286665,-1.0267759477547875,0.28969301458465363,-0.4967906598033262,0.2980911994996357,-1.423664841032496,0.43084210523228633,0.9837467449084106,-1.05556706281209,-1.795324813488798,-0.26536770231006535,1.4119120292060816,-0.6405139693879224,-2.134531159308039,-0.3842273545916136,0.9545924829804431,0.07558782474336168,0.9703949531300965,-2.392788509059694,-0.9115144902582629,0.3725218308638962,0.9588846899189428,0.4839110936811974,-0.09631495946476169,1.2902883363430475,0.8536858333871461,-0.5088734736927819,0.8938889851809039,-0.3272252087436257,0.0
bc,-0.48155723873074496,-0.34711115397038333,0.8566594111262044,-0.5713303275214008,-0.7080469608137157,-0.1665702719489256,-0.6441746689938949,-0.7226840401848634,0.7760069301360556,0.43777001828241163,0.12754523051985925,0.5936284892422484,1.4452558442021162,-1.2482906962215317,0.010269712882759626,-0.749439021025411,0.3839839627144602,0.2794106260669729,-1.1949304702504011,-0.4634369785309461,-0.8402794448629834,-0.6075044781407465,-2.0157580623032665,-0.31511443416451423,-0.4718461126123657,-1.8651124843133409,0.42556820551685876,-1.5690364535097068,1.5363238125434198,-0.41876015486654566,0.0
bh,0.21488631896186985,0.31535196729532644,-0.5601733716336461,-0.7401895400444904,0.14455434553826788,1.037914777988265,0.45606318302933996,-0.8944018187748155,-0.5797276048895136,-0.6177648786353004,-0.8391483451757005,-0.22905809084481074,-0.4075314090876077,1.042275019362722,-0.6256502530045054,0.06138410148181959,-0.885291584022138,-0.010042724407206273,-0.9530810448568078,0.8045415709644912,-1.3089148506566526,0.2377197437781165,-0.08605027884752756,2.7871489332024555,0.9917735755729666,0.6260724815706353,-0.22124528562583967,-0.38146890550969825,-0.7537054294393805,0.30346201852353344,0.0
bn,-0.11011530400145075,0.554809217344153,-0.5278810086578131,-1.2518165194653508,1.978744184956632,0.2849519586886054,-0.46599414879852685,-0.3231559885318314,1.4169367070923231,-1.8915449445689694,0.377131988201175,0.20780894244918385,-1.430112597299677,0.2323459190048175,-2.0160430396484017,0.0531414293515123,-0.587910468241346,-0.25054811832435075,-2.923358487663571,0.3743291481981017,0.45700094278775,1.1769759181220159,-1.0585685568850491,0.09296414816413862,-0.5368601267813052,0.28661811033761786,-0.06521462264127578,-0.2989483593652027,-0.7584045007493161,0.16060389669008823,0.0
bt,-0.8238265588376996,-0.6223290173096644,1.0651916147104203,-0.7836424425618017,1.0994122720899098,-0.1702645000480754,0.7083368052843027,-0.20921194326220485,-0.7884126838363034,-0.8744545107773507,-0.6290884995499522,-1.2274255868501827,-0.5477037437822648,0.2913204517769126,0.17653021912374905,0.9582169126353454,-0.6260152484213908,-0.5694071598042366,2.8000049066508965,-0.23535431335263118,2.0455821370235565,0.5107936745512431,-0.48107190794871435,0.9795547177413492,0.8417742319518,0.06133641326551734,0.11539890463027438,-0.8890663844436042,0.3035051262726862,0.42372660954927777,0.0
br,-0.47949180771265854,0.43882295077558114,0.031311982569321564,3.0496392265493433,-0.5707786296447326,-0.4504290411901771,1.9935882853088187,-0.9823010324250813,1.0568313594946661,-1.6605868537523722,2.4549905248357615,-0.9876191524843058,0.7622436118520431,1.1639196454045924,0.44992025158259163,-0.08946742690964184,-1.4635017683612321,0.4551958254110254,-0.2534287114381824,-0.8595220054974885,-0.8469161330257473,-1.0019708100101645,0.5463292060422714,1.2971452729465998,-1.1804966052727583,0.6324474728467858,-0.06245479255908699,0.16498060292810265,0.4454172868313733,0.16827482731887483,0.0
bv,1.7939954649580465,1.6790487595896517,-0.6228714437652441,-1.3176922807016804,-3.3129671284326307,-0.3461002917304341,1.4653331512563104,1.72141424671988,0.19074741971147116,0.16991735259847407,-0.022843533569063133,-1.6982315456903483,-1.0499888920928422,-0.011679983182229268,-0.05366639704564123,0.37252128627302655,0.3431983288970167,-0.29883968571854724,0.21038088532525362,1.5368430640076969,-0.23387174837645708,0.2624274863569398,-1.2321335345087852,0.2807105621399884,-0.17027764794033287,0.20589484884764558,-0.03829636309857973,0.0328645949184928,0.5843627838686728,-0.5078742066376968,0.0
bz,-0.7710480555594696,0.2713014102389948,0.06558729016038757,0.9108983816015617,-1.209174984663352,1.0520842373035957,-1.1336549965987912,1.3285391430758844,0.34228062035701,0.07785551894595943,1.1110639102073925,0.7093008976878691,-0.4668512542260887,-1.5863567216818883,-0.7910356264290501,0.5334285828389173,-1.0172341274345988,1.8794569536467418,-0.18329824850340282,0.6939514850490717,1.6161121573338366,0.8362986612344335,1.0257127143644975,-0.5775762062434817,-0.9773325566694513,0.42234069898133236,0.3879136223504884,0.4865966331675466,-0.06271828177116452,0.5847830269353189,0.0
cl,-1.0530774645458476,-0.2849482961185994,-0.006671576983791352,0.1197541909505293,0.2938202937146144,0.21502018373940135,1.8153785883085758,-0.16504267229455002,0.5882732384463845,0.0872432774778895,-0.2260076390075109,-1.3641720108566147,0.27208148404481086,-0.8481783620952327,-0.41805612416643745,0.5722223910637727,0.942261485609846,1.565255134087468,0.622218399230455,-0.44726845570272833,-0.30262687451679776,1.0780818377830184,0.6319150344487093,-1.1083434767811546,0.3242609628925686,-1.4836216267135482,1.1711641693046226,-0.13977412802030104,-1.2373570407234877,0.0895715288086361,0.0
