,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31
ServAgr,0.06945905330483398,-0.13428334461530295,0.06126336991597203,0.6090490568409838,0.012411625679966504,-0.07600972775164994,0.46781857523960946,-0.10019271646840565,0.2564521163173875,-0.14154076671171995,0.4171992231648692,-0.1542258965056298,0.10542630157618754,0.16308940282866105,-0.059816400192967537,0.0852451328482811,-0.02760880320842605,0.03280802530140113,0.020267451196249005,0.005507583699446923,-0.06611301431021982,-0.08037744676644261,0.00242920862703926,0.013160571941207453,0.0008078328871738629,0.038301292386739405,-0.008979588618712746,0.004141592299490236,0.007474772340821682,-0.011953122671847121,0.0
Silvicultura,-0.04047884172575133,0.4229457197422274,-0.14339038560585304,-0.4135260075923867,0.19798008990021376,0.23171547684287216,-0.3259067488924732,-0.05438598538530875,0.1306197420008965,0.20882203960193751,0.3654007419245094,-0.16400501804886966,0.3182169437035213,-0.06158695440877079,0.02537662417720326,0.04113646404887624,0.07237411530437901,-0.12670097054927246,-0.043771432426261934,-0.003144258395192503,-0.04115226541664159,0.05296367552233302,0.01544391806680231,0.011923214385381409,0.028123404105677315,0.025314209991845603,-0.010835825660303108,0.009185167388980566,0.023415870566182502,0.005211751313550278,0.0
SupLoc,0.39775325645225873,-0.47033559583733137,-0.4615166760429936,-0.21221118298844485,-0.004872783366272717,-0.2840889698579989,-0.12907973854553273,0.2269023358242164,0.142778604989214,0.1279615193206562,0.08850820154409313,0.20918738567763287,0.06774198141416654,0.09902755261284638,0.13589981088505582,0.07117073424627329,-0.2402716402701129,-0.012333596140066773,0.026701587358010377,0.07858671286604388,0.108454414163064,-0.007726005251268287,-0.009964230052672104,0.06630255631540957,0.0235183914860556,0.009997070235148852,-0.004957758901850913,0.017917608964081195,0.014645701773960552,-0.009199897229746602,0.0
DrumuriM,-0.4748547345143028,0.4393607631376443,0.001164235387582862,0.18407148277156207,0.17666140665544863,-0.3500008636957821,-0.1493423449172882,0.2858150125135847,-0.300524242456723,0.18663207646091265,0.07657302677422954,-0.13683178796695894,0.13538010803658518,0.23886589390633964,0.11911101505347062,-0.1442000777251284,0.04028124327978234,0.11048198224653766,-0.0004317118972386985,0.01655541750043918,0.03886972997838813,-0.03063093299551348,-0.023744711077459627,-0.032085401343443586,-0.05942236466578901,0.050740920054964424,-0.02067584183766075,-8.809534158504034e-05,-0.010278994082083874,0.0029024877767966735,0.0
Innoptari,0.32564706209933914,0.4051786519861379,-0.23163764444207707,-0.28017846698194826,-0.3283206161627934,-0.04992819683076155,0.2096509961459665,-0.25685259745355676,-0.362034112361977,0.08070139565507684,0.12551059201782486,0.3096130116009806,-0.013470637380936536,0.23343221793095525,-0.18458122486049042,0.06901096941508526,0.0933336603154756,0.04541042293771354,0.04186688287401757,-0.053430213099941566,0.02816275517439622,0.026615956048605834,0.014328829924467353,0.0037523571396237848,0.008853630145100376,-0.0013876348668780862,0.00995198455720129,0.005844191330243624,0.030512134599007402,-0.0031682195456196726,0.0
BugetVenituri,0.36630160960530483,0.3125030091608375,0.11522463036690908,-0.053786596268164164,0.6065690486783868,-0.3457906847527374,0.23746925059628654,0.09281284542507691,0.13172288776434127,0.18843512224392006,0.04669132730179516,0.26801278926768474,-0.14376588019020714,-0.021673718553387223,-0.1049323241421167,-0.010800677863524948,0.04823439926742073,-0.07287647867400593,-0.1073971367770725,0.07465908995336966,-0.05629432978895829,0.056781923996117145,-0.01190382855134613,0.029469056067345567,-0.013430361858579416,0.00795234048362854,-0.02886825964210231,-0.0401633198776747,-0.021450369394858948,-0.007626460123891382,0.0
BugetSubventii,-0.6236250510405412,0.3374186906734924,0.19427571891586354,-0.1391269558609506,0.3620127504379477,-0.32625883682354395,0.2703325354668889,-0.00616116327927646,-0.08775536630373844,0.11544201036499731,-0.14787191326120827,-0.012678506557715304,0.005972127317890833,-0.11187551441355968,0.09516292642331087,-0.041302508108041244,-0.08146752256281521,0.07934909681009308,0.11191711110173712,-0.1003863267527733,-0.10576039323574317,-0.012860247590459329,0.006664905629790207,0.0611905311886403,0.05268034329147073,-0.014552257042480034,0.0384267462550166,0.05333182908929111,0.013123364517061606,-0.0015885855910619494,0.0
Apa,0.6267023285560942,0.4047189795228425,-0.18868077188096202,0.3450387091909675,-0.17742839369280572,-0.027193852378469874,0.10326263778601688,-0.015556229663148093,-0.0044242492977113555,-0.21299088387129084,0.14021348604996484,0.10097285624352262,-0.014835530310776557,-0.22212785733300613,0.010361841625930122,-0.26699089368565276,-0.15212446550910305,0.017610554385313077,-0.05585056897315525,0.04197786743261369,0.0016807812121582757,0.06862265960427498,0.09538186477362573,-0.004076570407889274,-0.011386683026814854,0.03917476773120519,-0.0032058327527908033,0.013208282547188642,0.020526722665372216,0.006942872603150776,0.0
Canal,0.797310668964595,0.34609898765710306,-0.040010107999468844,0.23238535821952128,-0.14840537582884017,0.0037280884035332026,-0.09323968744204462,0.09294220620360531,0.09400346208187561,-0.12566266321655747,0.18729836921198173,0.054022102496634805,-0.043981450728278935,0.1011570640001303,0.11117653228480509,-0.08995393721672201,-0.009504525814992525,0.01976775439898413,0.012354338826504597,-0.1504978547525895,0.014125493543912716,0.013168794620784375,-0.09529100424308802,0.05309203950595495,0.055841828384443376,-0.09109294961762317,-0.03807465849472433,-0.01846903809793914,-0.01633227783107304,0.016242022667624697,0.0
Export,0.5768133079117508,-0.13830491442086618,-0.3367545343294207,0.08535416153736285,-0.006278103923624246,0.03440594557238235,-0.06093645303427334,0.46345910719685335,-0.09242181705350838,-0.26782260491195486,-0.23587080877117772,0.028120767026962024,0.30044173333797064,-0.011594160730191273,-0.1942590076516052,-0.048177085874150725,0.11118575550847572,-0.07310170275176034,0.06318680985751778,-0.04451846784725555,-0.07865649764889203,0.010708607075246276,-0.00667149593488847,0.06705829895209953,-0.023058855713865383,0.007749824802149925,-0.014100216273215263,0.010919025579872255,-0.0030837039162305772,-0.011912439819287819,0.0
