Judet,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
 Alba,0.7335877172297045,-0.32766021973379816,-0.7500236263801285,1.0939693174862744,0.507057985565826,-1.8092007604066493,0.6817488578527467,0.003820756573948511,-2.074431334201757,0.2377068885963962,-0.23647521531130827,-0.5399518862123398,-0.5490850654190453,0.24775345378172303,-0.18206483481029492,-0.46254922294336404,3.53527139334316
 Arad,-0.23617493814866045,0.7948494709231467,-0.7775144982073571,0.14364175845494762,-1.36566463211798,-0.21406671568176197,0.6267302849711889,0.8085289077175685,0.6552479481669333,0.8251777689559202,-0.8156130739406459,-0.5727876702930911,-0.6681420006132366,-0.3550568508679724,-0.763347604571098,-0.8000894874476652,-0.291311503505931
 Arges,-0.19726403390921055,1.8389782807476647,-0.3068724537117333,1.2892380868951334,0.16483015472016357,0.012789923645013938,1.6474024200364206,0.43250017929303397,0.7080436857180128,0.544771472298777,1.0831053254920213,0.26922171026182257,0.31516349902466684,-1.4707810812950524,-0.5641121562607987,-0.23269113553809226,1.6297546840477781
 Bacau,-0.8624730308239335,-1.2346253789798485,-1.0370920708406821,-1.2246297670195505,1.5066347380804586,1.1990263950930409,-0.4403758791220224,1.6979498718885693,-0.4297922587324071,-0.25341197438376656,1.503212701804446,-2.1795171609795565,0.7366325630480115,0.6725340915305705,-0.6327347981955304,1.1920247564845157,1.359929096438989
 Bihor,0.6551699468899209,-0.7364825441486474,-0.12292215902435036,2.4358159237535486,-2.6873766775830794,1.5096452831193137,-1.2088734377502783,0.7611433077077108,-0.7956193742955701,0.23229346770354944,1.1355620897383738,-0.097644307222769,-0.7719738643992144,0.07513548122963887,-0.698118577697381,0.14081465149677144,-0.3714603594242147
 Bistrita-Nasaud,1.2542364382930165,-1.3840989155196133,-1.025195861150636,2.6518256920913745,1.1802347129564335,-1.3567768820792063,1.9449428834755635,-0.2768792994621129,-0.0424115221225666,-0.4257296957266187,0.5768607509381356,-0.22506004533749305,-0.23543374039290177,0.9628867387141911,-0.8018420424224987,-0.5065597986630613,-1.6014176125466562
 Botosani,-1.160779002453709,1.4549198384992974,-0.40551539540302833,0.5018901365716163,0.833717254504623,-1.187207249502595,-1.0517070456174686,0.8513145969169015,0.5028443052851818,0.8587982284305562,-0.5032404254392614,1.5249697244337712,0.0981865853458826,0.6234339654937564,0.563584723426582,-1.3986582210069318,-0.6663489528336622
 Braila,-1.6815835517080673,-0.38696055592233175,-1.0453501277306574,0.032805718122867686,-2.127810510699155,-0.09393875326165545,1.0671093913195342,-1.1660973375888242,-1.3181310763195473,-0.8620380762152612,0.4116500245564399,0.3680273932824212,1.1890981445826025,1.000622417453301,-0.6873351730590466,-0.15366890866011867,-0.6414332557259255
 Brasov,1.126335617522263,0.7497463762725105,-0.3501083345353301,0.2666832753535486,-1.43901835969003,0.49785392711210236,-1.7804800771966898,1.1819945943076038,-1.0114691819754933,-0.5228789446830805,-0.1881111452521361,-0.7007976764156273,-0.459339260408241,-0.7932698327395287,0.04603672085247902,0.6391247294937182,0.48214177815391174
 Buzau,-1.2085005336644628,1.1093258247168296,1.2714761211939831,-0.46122189363490496,-0.6049734547448103,0.7646482223514615,-0.9094981137987871,-1.631289905841074,-1.6663816535718408,-0.8090554757436164,0.14342688687411007,0.3263911121952841,-1.0072594175582477,0.200334127434878,-0.555456261165627,0.7259735462038202,1.335311421715801
